"","LOTNO","PRODUCTNO","MONO","RUN_SEQ","WT","GR","SPC_VALUE","SPC_RANGE","PRE_CIE_X_AVG","PRE_CIE_Y_AVG","CIE_X_AVG","CIE_Y_AVG"
"16772","S06P5830TT00","95.S0606.A01","T05TM83007-0B401AB01","0","34.00 ","0.00 ",45.33,18,"0.3246 ","0.3270 ","0.2997 ","0.2840 "
"16773","T70P5831Y900","95.T7020.W0C1A8Z","T05TM83720-013AYGX02","0","7.79 ","0.00 ",113.5,28,"0.3003 ","0.2741 ","0.2911 ","0.2708 "
"16774","380P58408400","95.S3806.W0A0B0Z","T05TM84616-0W3BECZ01","0","32.77 ","0.00 ",36.67,25,"0.2966 ","0.2994 ","0.2871 ","0.2649 "
"16775","380P58449800","95.S3806.W0A0C8Z","T05TM84627-0W2C7H301","0","29.10 ","0.00 ",41,24,"0.2940 ","0.2905 ","0.2856 ","0.2581 "
"16776","T70P5840RG00","95.T7020.Z0C11BZ","T05TM84707-051D6GX02","0","12.80 ","22.50 ",121.83,51,"0.3161 ","0.2787 ","0.3090 ","0.2772 "
"16777","S06P5840YU00","95.S3806.W0A0E9Z","T05TM84621-052C7JC01","0","18.70 ","0.00 ",46.33,16,"0.2816 ","0.2756 ","NULL","NULL"
"16778","401P58400500","95.T4012.A0B005Z","T05TQ84Q01-053D1M501","0","57.20 ","0.30 ",84.17,3,"0.3140 ","0.2873 ","0.2964 ","0.2747 "
"16779","380P58413M00","95.S3806.W0A0EHZ","T05TM84607-0W1B1LG01","0","28.50 ","0.00 ",42.17,14,"0.2999 ","0.2986 ","0.2889 ","0.2606 "
"16780","T30P5840GQ01","95.T3030.Z0D01MZ","T05TM84312-163CZHH01","0","14.00 ","45.00 ",54,10,"0.2980 ","0.2846 ","0.2854 ","0.2504 "
"16781","380P5841TN00","95.S3806.W0A0B0Z","T05TM84616-0W3BECZ01","0","32.45 ","0.00 ",34.67,4,"0.2984 ","0.3010 ","0.2858 ","0.2619 "
"16782","S04P5843D600","95.S3004.W0A100Z","T05TM85101-0W3C7JC02","0","15.87 ","0.00 ",27.17,12,"0.2992 ","0.2602 ","0.2967 ","0.2742 "
"16783","C40P58409J00","95.T4014.Z0C104Z","T05TM84012-133CPIM01","0","19.72 ","43.00 ",104.67,27,"0.2831 ","0.2155 ","0.2805 ","0.2445 "
"16784","S04P5843BN01","95.S3004.W0A100Z","T05TM85101-0W3C7JC02","0","15.90 ","0.00 ",23.17,7,"0.2990 ","0.2583 ","0.2955 ","0.2708 "
"16785","C40P5840B900","95.T4014.W0A100Z","T05TM84013-133CAJ401","0","14.15 ","0.00 ",107.17,13,"0.2806 ","0.2211 ","0.2732 ","0.2451 "
